"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"null",365,5,500,861,23,FALSE,"null:skin_temp_dev_c",1,0,0.0031,-0.0575,0.0959,0.5835
"null",365,5,500,861,23,FALSE,"null:exercise_min",1,0,-0.002,-0.0858,0.0626,0.4425
"null",365,5,500,861,23,FALSE,"null:outdoor_min",1,0,0.0021,-0.0611,0.0924,0.5675
"null",365,5,500,861,23,FALSE,"null:caffeine_mg",1,0,0.0028,-0.0657,0.0901,0.5825
"null",365,5,500,861,23,FALSE,"null:alcohol_units",1,0,0.0089,-0.0418,0.1315,0.6625
"null",365,5,500,861,23,FALSE,"null:work_day",1,0,0.0072,-0.0407,0.133,0.67
"null",365,5,500,861,23,FALSE,"null:travel",1,0,-0.0021,-0.0867,0.0617,0.4435
"null",365,5,500,861,23,FALSE,"null:sick",1,0,-0.0021,-0.0952,0.0619,0.4415
"null",365,5,500,861,23,FALSE,"null:temp_mean_c",1,0,7e-04,-0.0718,0.0817,0.5245
"null",365,5,500,861,23,FALSE,"null:precipitation_mm",1,0,0.0077,-0.0447,0.1222,0.6715
"null",365,5,500,861,23,FALSE,"null:sunshine_hours",1,0,-0.0042,-0.1044,0.0535,0.3835
"null",365,5,500,861,23,FALSE,"null:daylight_hours",1,0,0.0025,-0.0584,0.1006,0.5725
"null",365,5,500,861,23,FALSE,"null:pm25",1,0,0.0052,-0.0542,0.1067,0.613
"null",365,5,500,861,23,FALSE,"null:indoor_pm25",1,0,-0.0027,-0.0974,0.0589,0.428
"null",365,5,500,861,23,FALSE,"null:indoor_voc",1,0,0.0038,-0.0486,0.1096,0.604
"null",365,5,500,861,23,FALSE,"H5",1,0,0.0097,-0.326,0.3702,0.525
"null",365,6,500,861,23,FALSE,"H1",1,0,-0.0074,-0.121,0.0835,0.403
"null",365,6,500,861,23,FALSE,"H2",1,0,-0.0225,-0.1678,0.0655,0.264
"null",365,6,500,861,23,FALSE,"H3a",-1,0,0.0104,-0.077,0.1366,0.643
"null",365,6,500,861,23,FALSE,"H3b",-1,0,0.0031,-0.1052,0.117,0.556
"null",365,6,500,861,23,FALSE,"H4",1,0,0.0029,-0.0998,0.1291,0.552
"null",365,6,500,861,23,FALSE,"null:sleep_efficiency",1,0,0.0121,-0.0728,0.1376,0.6585
"null",365,6,500,861,23,FALSE,"null:hrv_ms",1,0,-0.0083,-0.1187,0.0779,0.3975
"null",365,6,500,861,23,FALSE,"null:resting_hr",1,0,0.0142,-0.0672,0.1315,0.6695
"null",365,6,500,861,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0306,-0.1603,0.0453,0.214
"null",365,6,500,861,23,FALSE,"null:exercise_min",1,0,-0.0661,-0.2396,0.0177,0.111
"null",365,6,500,861,23,FALSE,"null:outdoor_min",1,0,0.0058,-0.0775,0.1366,0.585
"null",365,6,500,861,23,FALSE,"null:caffeine_mg",1,0,0.022,-0.0583,0.1662,0.709
"null",365,6,500,861,23,FALSE,"null:alcohol_units",1,0,-0.0219,-0.1766,0.058,0.2725
"null",365,6,500,861,23,FALSE,"null:work_day",1,0,0.0185,-0.0658,0.1707,0.7045
"null",365,6,500,861,23,FALSE,"null:travel",1,0,0.013,-0.0784,0.1446,0.651
"null",365,6,500,861,23,FALSE,"null:sick",1,0,0.0184,-0.0636,0.1577,0.6955
"null",365,6,500,861,23,FALSE,"null:temp_mean_c",1,0,-0.0045,-0.1125,0.1067,0.4335
"null",365,6,500,861,23,FALSE,"null:precipitation_mm",1,0,0.0179,-0.063,0.1332,0.6845
"null",365,6,500,861,23,FALSE,"null:sunshine_hours",1,0,0.0182,-0.0617,0.1464,0.695
"null",365,6,500,861,23,FALSE,"null:daylight_hours",1,0,-0.0201,-0.1809,0.0698,0.311
"null",365,6,500,861,23,FALSE,"null:pm25",1,0,0.0081,-0.0881,0.1193,0.6145
"null",365,6,500,861,23,FALSE,"null:indoor_pm25",1,0,0.0021,-0.0955,0.1094,0.5375
"null",365,6,500,861,23,FALSE,"null:indoor_voc",1,0,0.0171,-0.0714,0.1534,0.686
"null",365,6,500,861,23,FALSE,"H5",1,0,0.1113,-0.2103,0.4176,0.7605
"null",365,7,500,892,23,FALSE,"H1",1,0,0.0035,-0.0416,0.0846,0.619
"null",365,7,500,892,23,FALSE,"H2",1,0,0.0018,-0.0586,0.0711,0.564
"null",365,7,500,892,23,FALSE,"H3a",-1,0,0.0019,-0.0491,0.0863,0.574
"null",365,7,500,892,23,FALSE,"H3b",-1,0,1e-04,-0.0619,0.0613,0.51
"null",365,7,500,892,23,FALSE,"H4",1,0,0.0036,-0.0418,0.0865,0.61
"null",365,7,500,892,23,FALSE,"null:sleep_efficiency",1,0,0,-0.0639,0.0623,0.5015
"null",365,7,500,892,23,FALSE,"null:hrv_ms",1,0,-6e-04,-0.0652,0.057,0.4745
"null",365,7,500,892,23,FALSE,"null:resting_hr",1,0,-0.003,-0.076,0.0414,0.3835
"null",365,7,500,892,23,FALSE,"null:skin_temp_dev_c",1,0,3e-04,-0.0589,0.0586,0.5245
"null",365,7,500,892,23,FALSE,"null:exercise_min",1,0,0.0021,-0.0479,0.0686,0.586
"null",365,7,500,892,23,FALSE,"null:outdoor_min",1,0,0.0012,-0.0566,0.067,0.541
"null",365,7,500,892,23,FALSE,"null:caffeine_mg",1,0,0.0026,-0.0421,0.0805,0.593
"null",365,7,500,892,23,FALSE,"null:alcohol_units",1,0,0.0026,-0.0499,0.0755,0.586
"null",365,7,500,892,23,FALSE,"null:work_day",1,0,5e-04,-0.0603,0.0771,0.53
"null",365,7,500,892,23,FALSE,"null:travel",1,0,0.0061,-0.0342,0.1086,0.673
"null",365,7,500,892,23,FALSE,"null:sick",1,0,-0.0016,-0.0793,0.0484,0.4255
"null",365,7,500,892,23,FALSE,"null:temp_mean_c",1,0,0.0033,-0.0469,0.0809,0.606
"null",365,7,500,892,23,FALSE,"null:precipitation_mm",1,0,0.0021,-0.0471,0.0755,0.5765
"null",365,7,500,892,23,FALSE,"null:sunshine_hours",1,0,0.0023,-0.052,0.0772,0.589
"null",365,7,500,892,23,FALSE,"null:daylight_hours",1,0,5e-04,-0.0623,0.0617,0.528
"null",365,7,500,892,23,FALSE,"null:pm25",1,0,-0.0024,-0.0802,0.0424,0.412
"null",365,7,500,892,23,FALSE,"null:indoor_pm25",1,0,-0.006,-0.1035,0.0353,0.338
"null",365,7,500,892,23,FALSE,"null:indoor_voc",1,0,0.0047,-0.0355,0.0972,0.661
"null",365,7,500,892,23,FALSE,"H5",1,0,-0.212,-0.5966,0.1767,0.1335
"null",365,8,500,869,23,FALSE,"H1",1,0,-0.0013,-0.0707,0.0425,0.4365
"null",365,8,500,869,23,FALSE,"H2",1,0,5e-04,-0.048,0.0595,0.5295
"null",365,8,500,869,23,FALSE,"H3a",-1,0,-0.0021,-0.0716,0.0422,0.408
"null",365,8,500,869,23,FALSE,"H3b",-1,0,-0.0036,-0.0859,0.0366,0.366
"null",365,8,500,869,23,FALSE,"H4",1,0,0.0065,-0.0277,0.1066,0.684
"null",365,8,500,869,23,FALSE,"null:sleep_efficiency",1,0,2e-04,-0.0469,0.0566,0.52
"null",365,8,500,869,23,FALSE,"null:hrv_ms",1,0,-6e-04,-0.0598,0.0508,0.4615
"null",365,8,500,869,23,FALSE,"null:resting_hr",1,0,0.002,-0.042,0.0666,0.586
"null",365,8,500,869,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0011,-0.0583,0.0469,0.442
"null",365,8,500,869,23,FALSE,"null:exercise_min",1,0,-6e-04,-0.0681,0.0444,0.4635
"null",365,8,500,869,23,FALSE,"null:outdoor_min",1,0,-0.0018,-0.077,0.0411,0.4185
"null",365,8,500,869,23,FALSE,"null:caffeine_mg",1,0,-6e-04,-0.0598,0.0498,0.463
"null",365,8,500,869,23,FALSE,"null:alcohol_units",1,0,2e-04,-0.0505,0.0582,0.516
"null",365,8,500,869,23,FALSE,"null:work_day",1,0,-0.0012,-0.0651,0.0475,0.44
"null",365,8,500,869,23,FALSE,"null:travel",1,0,6e-04,-0.0524,0.0639,0.5465
"null",365,8,500,869,23,FALSE,"null:sick",1,0,-0.0019,-0.0766,0.0393,0.4215
